group_name;Office;Name ns surname;Name;Surname;Keywords;URL
Artificial Intelligence and Machine Learning;55130;ANDERS JONSSON;ANDERS;JONSSON;AI;https://drive.google.com/file/d/146gvP1ZT8Rft9YeWSYju9aN4SOEZ2rzb/view?usp=sharing
Biomedical Electronics;51017;ANTONI IVORRA;ANTONIO;IVORRA;Electronics, biomedicine, BERG;https://drive.google.com/file/d/1qdILfxEWEPlfotDBAgHidjnp7aZtVBYB/view?usp=sharing
Cognitive Multimedia Technologies;55122;XAVIER BINEFA;XAVIER;BINEFA;Cognition, media;https://drive.google.com/file/d/1JU4wbOAAN-MJi1n_9lxPBijvbjfkpVU2/view?usp=sharing
;;;;;;
Image Processing for Enhanced Cinematography;55203;MARCELO BERTALMIO;MARCELO;BERTALMIO;Image, processing, cinematography, IP4EC;https://drive.google.com/file/d/1dXCJjV3Dre8c2Qul30iVOE_Z3z8KlQp-/view?usp=sharing
Image Processing and Computer Vision Group;55118;COLOMA BALLESTER;COLOMA;BALLESTER;Image, processing;https://drive.google.com/file/d/1ZeOlCjC0l6L-7nRY82hLoPytQSUIhNWb/view?usp=sharing
Information Theory and Coding Group;55222;ALBERT GUILLEN;ALBERT;GUILLEN;Coding, information;https://drive.google.com/file/d/1ZMEPSn5G2bwOG7F3vWmsnX742qIguntN/view?usp=sharing
Interactive Technologies Distributed for Education;55128;DAVINIA HERNANDEZ LEO;DAVINIA;HERNANDEZ;Education, technology, TIDE;https://drive.google.com/file/d/1OIA-I_XHpZUYttay9cbfr4nCTzr5Whaz/view?usp=sharing
Interactive Technologies Group;55126;JOSEP BLAT;JOSEP;BLAT;Interactive, technology, GTI;https://drive.google.com/file/d/199XvC47Bqz2TFYzNjlM3rtfOkAmR4Bm-/view?usp=sharing
Music Technology Group;55326;XAVIER SERRA;XAVIER ;SERRA;Music, MTG;https://drive.google.com/file/d/1SAwqsus3YDlJAQ_ryoXSe6nfMLzOaJjB/view?usp=sharing
Natural Language Processing;55418;LEO WANNER;LEO;WANNER;Language, TALN;https://drive.google.com/file/d/17ki039s2UU-ljCxoIrYVUjjX6rhr-rvD/view?usp=sharing
Network Technologies and Strategies Group;55226;MIQUEL OLIVER;MIQUEL;OLIVER;Network, strategy, technology, NETS;https://drive.google.com/file/d/1Gnz3vRD-BNa8tCQgaPFvkghan97H7bDE/view?usp=sharing
Nonlinear Time Series Analysis Group;55211;RALPH ANDRZEJAK;RALPH;ANDRZEJAK;Signal, time, series;https://drive.google.com/file/d/1YRtEmAru3I3oOG0mIvP6o3rVeF0Gxbyk/view?usp=sharing
;;;;;;
Sensing in Physiology and Biomedicine Group;55103;OSCAR CAMARA;OSCAR;CAMARA;Computational, modelling, biomedicine;https://drive.google.com/file/d/1L0BptxO88gkqr3Luv4kH5e55_PnhvIOw/view?usp=sharing
Simulation, Imaging and Modelling for Biomedical Systems;55105;MIGUEL ANGEL GONZALEZ;MIGUEL;GONZALEZ;Modelling, image, biomedicine, Simbiosys;https://drive.google.com/file/d/1oKiiFvb76FlMO5BKWxGodkWOGpv2t1me/view?usp=sharing
Ubiquitous Computing Applications Lab;55426;RAFAEL POUS;RAFAEL;POUS;Radiofrequency, ubiquitous, computing, UBICA Lab;https://drive.google.com/file/d/1AcsEMNuAZW_9LvLG8EQmKAF8oXjPsASJ/view?usp=sharing
;;;;;;
Web Science and Social Computing;55201;CARLOS CASTILLO;CARLOS;CASTILLO;Social, web;https://drive.google.com/file/d/1GVhflX_gJw5Gis4F-R0swbJiLXA4S9WV/view?usp=sharing
Wireless Communication Group;55218;ANGEL LOZANO;ANGEL;LOZANO;Wireless, WICOM, Wisecom;https://drive.google.com/file/d/1e3325d5lNHZGpLuwzpeokJQHcJN_0aam/view?usp=sharing
Wireless Networking Group;55202;BORIS BELLALTA;BORIS;BELLALTA;Wireless;https://drive.google.com/file/d/1XSeVLKQuAcVqjvH5S3OhiFpS4Zica9DV/view?usp=sharing
